,name,group,ID,hem,metric,stream,point,values
133,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,3,0.551302
134,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,4,0.551302
135,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,5,0.711698
136,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,6,0.71955
137,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,7,0.732161
138,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,8,0.732161
139,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,9,0.724763
140,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,10,0.721299
141,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,1,0.336514
142,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,2,0.498858
143,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,3,0.624486
144,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,4,0.624486
145,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,5,0.710365
146,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,6,0.715435
147,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,7,0.732161
148,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,8,0.732161
149,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,9,0.717049
150,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.15,bcnu,R83A,l,uFA,15,10,0.722115
151,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,1,0.371869
152,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,2,0.511316
153,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,3,0.583619
154,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,4,0.656483
155,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,5,0.718707
156,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,6,0.723618
157,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,7,0.723618
158,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,8,0.717049
159,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,9,0.722115
160,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.16,bcnu,R83A,l,uFA,16,10,0.763113
161,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,1,0.382523
162,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,2,0.42207
163,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,3,0.474802
164,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,4,0.609661
165,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,5,0.72015
166,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,6,0.72015
167,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,7,0.731014
168,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,8,0.734283
169,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,9,0.768088
170,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.17,bcnu,R83A,l,uFA,17,10,0.763113
171,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,1,0.372123
172,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,2,0.397057
173,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,3,0.434444
174,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,4,0.579833
175,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,5,0.721843
176,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,6,0.721843
177,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,7,0.752254
178,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,8,0.750781
179,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,9,0.761928
180,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.18,bcnu,R83A,l,uFA,18,10,0.748609
181,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,1,0.373185
